brand_name,os,screen_size,4g,5g,main_camera_mp,selfie_camera_mp,int_memory,ram,battery,weight,release_year,days_used,new_price,used_price
Honor,Android,14.5,yes,no,13,5,64,3,3020,146,2020,127,111.62,74.26
Honor,Android,17.3,yes,yes,13,16,128,8,4300,213,2020,325,249.39,174.53
Honor,Android,16.69,yes,yes,13,8,128,8,4200,213,2020,162,359.47,165.85
Honor,Android,25.5,yes,yes,13,8,64,6,7250,480,2020,345,278.93,169.93
Honor,Android,15.32,yes,no,13,8,64,3,5000,185,2020,293,140.87,80.64
Honor,Android,16.23,yes,no,13,8,64,4,4000,176,2020,223,157.7,82.59
Honor,Android,13.84,yes,no,8,5,32,2,3020,144,2020,234,91.74,48.34
Honor,Android,15.77,yes,no,13,8,64,4,3400,164,2020,219,179.24,113.23
Honor,Android,15.32,yes,no,13,16,128,6,4000,165,2020,161,200.32,132.43
Honor,Android,16.23,yes,no,13,8,128,6,4000,176,2020,327,159.75,118.3
Honor,Android,15.47,yes,no,13,8,64,3,3020,150,2020,268,111.46,71.31
Honor,Android,15.32,yes,no,13,8,64,4,5000,185,2020,344,117.94,105.36
Honor,Android,16.69,yes,yes,13,16,128,8,4100,206,2019,537,499.68,217.73
Honor,Android,15.32,yes,no,13,16,64,4,4000,171.5,2019,336,221.13,101.25
Honor,Android,14.5,yes,no,13,5,32,2,3020,146,2019,230,88.9,61.03
Honor,Android,16.23,yes,no,13,8,64,4,4000,176,2019,248,129.83,82.37
Honor,Android,15.9,yes,no,13,32,128,6,3750,172,2019,395,249.12,151.77
Honor,Android,16.74,yes,no,13,16,64,4,4000,206,2019,421,180.04,118.75
Honor,Android,14.5,yes,no,13,5,32,2,3020,146,2019,532,120.58,70.01
Honor,Android,25.43,yes,no,5,2,32,3,5100,173,2019,266,248.9,71.37
Honor,Android,20.32,yes,no,8,8,32,3,5100,173,2019,321,201.14,95.23
Others,Android,20.32,no,no,8,0.3,16,1,5680,453.6,2013,933,240.9,85.81
HTC,Android,15.29,yes,no,13,16,32,3,3850,170,2019,187,180.5,95.66
HTC,Android,12.88,yes,no,13,13,64,4,3075,150,2019,499,220.9,99.05
HTC,Android,15.29,yes,no,13,8,32,3,3300,160,2019,497,149.32,83.64
HTC,Android,15.24,yes,no,13,14.5,128,6,3930,180,2019,202,419.88,183.73
HTC,Android,15.29,yes,no,13,16,64,4,3850,170,2019,493,279.06,103.2
Huawei,Android,15.37,yes,yes,10.5,16,128,6,4000,192,2020,91,249.73,135.03
Huawei,Android,15.37,yes,yes,10.5,16,64,6,4000,182,2020,299,220.53,124.02
Huawei,Android,15.32,yes,no,10.5,16,128,4,4000,163,2020,354,259.31,97.31
Huawei,Android,15.32,yes,no,10.5,16,128,4,4000,163,2020,306,239.6,130.69
Huawei,Android,20.32,yes,no,5,2,16,2,5100,310,2020,231,99.31,64.75
Huawei,Android,15.37,yes,yes,10.5,16,128,8,4000,189,2020,205,319.15,110.99
Huawei,Android,25.5,yes,no,8,8,64,4,7250,450,2020,211,249.33,169.54
Huawei,Android,16.71,yes,yes,10.5,16,256,8,4200,226,2020,120,1399.99,470.34
Huawei,Android,16.23,yes,no,10.5,8,64,4,4000,176,2020,161,158.88,104
Huawei,Android,25.6,yes,yes,13,8,128,6,7250,460,2020,139,550.23,178.12
Huawei,Android,16.23,yes,no,10.5,8,64,4,4000,176,2020,93,141.66,75.35
Huawei,Android,16.74,yes,no,13,16,128,6,4000,206,2019,460,290.74,158.45
Huawei,Android,15.34,yes,no,13,16,128,8,4200,183,2019,223,279.81,138.57
Huawei,Android,25.6,yes,no,13,8,128,6,7250,460,2019,256,449.11,148.07
Huawei,Android,15.9,yes,no,13,32,64,6,4000,178,2019,206,199.25,147.9
Huawei,Android,15.32,yes,no,13,16,64,6,4000,163,2019,488,201.69,93.45
Huawei,Android,16.23,yes,no,13,8,64,4,4000,176,2019,516,150.05,110.53
Huawei,Android,16.59,yes,yes,13,16,512,12,4500,198,2019,289,1699.36,291.25
Huawei,Android,16.81,yes,yes,13,16,128,6,4200,196,2019,477,650.19,217.12
Huawei,Android,16.81,yes,no,13,16,128,6,4200,196,2019,195,552.1,150.63
Huawei,Android,15.9,yes,no,13,32,128,6,4000,178,2019,244,290.12,171.31
Huawei,Android,16.74,yes,no,13,16,128,4,4000,163.5,2019,376,190.62,126.38
Huawei,Android,25.6,yes,no,13,8,64,4,7500,498,2019,205,300.3,139.3
Huawei,Android,20.42,yes,no,13,8,128,6,6100,340,2019,406,349.65,199.19
Huawei,Android,20.42,yes,no,13,8,64,4,6100,320,2019,462,258.86,148.59
Huawei,Android,16.23,yes,no,13,32,128,8,3500,171,2019,333,389.65,227.74
Huawei,Android,16.23,yes,no,13,32,128,8,3500,171,2019,284,359.79,216.71
Huawei,Android,15.34,yes,no,13,24,128,6,4000,178,2019,202,260.59,157.41
Huawei,Android,15.34,yes,no,13,16,64,4,4000,178,2019,445,280.84,155.04
Huawei,Android,16.74,yes,no,13,16,64,4,4000,196.8,2019,375,280.93,100.23
Huawei,Android,10.16,no,no,5,2,16,4,1700,136.1,2014,666,110.29,35.85
Huawei,Android,17.78,no,no,3.15,0.3,8,1,4100,350,2013,819,150.89,53.64
Infinix,Android,17.32,yes,no,,8,32,2,6000,209,2020,245,99.25,72.39
Infinix,Android,15.39,yes,no,,8,64,4,5000,185,2020,173,111.25,78.54
Infinix,Android,15.39,yes,no,,8,32,2,5000,185,2020,256,90.51,65.46
Infinix,Android,15.39,yes,no,,16,32,3,4000,178,2019,316,99.7,95.13
Infinix,Android,15.29,yes,no,,16,32,2,4000,165,2019,468,130.49,82.82
Lava,Android,14.5,yes,no,,5,32,2,3200,150,2020,356,79.92,54.05
Lava,Android,12.7,no,no,5,0.3,8,0.5,3000,147.6,2016,819,61.13,32.97
Lenovo,Android,25.43,yes,no,8,5,32,3,7000,520,2020,233,181.52,112.93
Lenovo,Android,25.43,no,no,8,5,64,4,7000,580,2019,419,322.19,183.99
Lenovo,Android,15.47,yes,no,8,5,16,2,4000,172,2019,267,98.6,51.45
Lenovo,Android,20.32,yes,no,13,5,16,2,5100,305,2019,461,158.56,119.03
Lenovo,Android,20.32,yes,no,5,2,16,2,5000,305,2019,423,139.5,86.81
Lenovo,Android,17.78,yes,no,2,2,32,1,3590,236,2019,528,100.16,49.21
Lenovo,Android,16.23,yes,no,8,16,64,6,4000,159,2019,254,250.88,83.4
Lenovo,Android,16.23,yes,yes,8,32,128,6,4000,185,2019,370,400.32,209.1
Lenovo,Android,15.32,yes,no,8,16,64,4,4050,164,2019,482,157.98,107.43
Lenovo,Android,25.43,yes,no,8,8,16,2,8400,655,2016,691,179.69,156.99
LG,Android,16.59,yes,no,5,16,64,4,4000,196.5,2020,273,270.83,131.51
LG,Android,15.44,yes,no,5,13,64,3,4000,219,2020,349,200.23,77.49
LG,Others,5.28,yes,no,2,13,8,1,1470,127,2020,343,150.76,48.21
LG,Android,15.44,yes,yes,5,10,128,8,5000,218,2020,352,869.78,113.8
LG,Android,15.44,yes,yes,5,10,128,8,5000,213,2020,142,699.8,239
LG,Android,15.37,yes,no,5,13,32,3,4000,196.5,2020,92,240.19,103.23
LG,Android,14.5,yes,no,8,8,32,3,3450,170,2020,166,130.41,68.77
LG,Android,25.43,yes,no,8,5,32,4,8200,498,2019,329,340.2,111.01
LG,Android,15.34,yes,yes,8,32,256,8,4000,192,2019,383,1100.12,236.91
LG,Android,15.34,yes,no,8,16,64,4,4000,198,2019,443,319.33,109.61
LG,Android,13.84,yes,no,8,5,16,2,3000,148,2019,257,140.38,70.48
LG,Android,13.84,yes,no,8,5,16,1,3000,152,2019,380,100.12,59.7
LG,Android,15.27,yes,no,8,13,32,2,3500,186,2019,255,161.13,103.91
LG,Android,15.37,yes,no,8,13,32,3,4000,194,2019,512,201.2,94.69
LG,Android,15.8,yes,no,8,16,64,4,4050,172,2019,223,190.19,86.65
LG,Android,15.9,yes,no,8,16,32,3,4000,175,2019,200,129.62,97.74
LG,Android,15.72,yes,no,8,8,32,3,4000,164,2019,210,109.36,79.36
LG,Android,15.29,yes,no,13,5,32,3,3500,179,2019,216,200.42,91.62
LG,Android,15.29,yes,no,16,5,64,4,3300,172,2018,724,300.08,132.68
LG,Android,12.83,yes,no,13,5,16,2,4500,171,2018,628,179.66,78.15
LG,Android,7.62,no,no,2,1.3,4,0.5,1540,140.45,2014,750,50.7,20.65
Meizu,Android,15.39,yes,yes,,20,128,8,4500,199,2020,186,529.55,175.54
Meizu,Android,15.37,yes,no,,16,128,6,4500,183,2019,449,251.22,106.22
Meizu,Android,15.37,yes,no,,8,32,2,4000,184,2019,190,180.4,72.98
Meizu,Android,15.29,yes,no,,20,128,6,3600,166,2019,459,340.59,112.29
Meizu,Android,15.29,yes,no,,16,64,6,4000,165,2019,517,218.91,126.76
Meizu,Android,15.29,yes,no,,20,128,6,3600,165,2019,332,420.17,142.51
Micromax,Android,10.16,no,no,2,0.3,0.5,0.25,1500,146.5,2014,1016,50.74,20.98
Micromax,Android,7.75,no,no,0.3,0.3,0.5,0.25,1500,89,2014,956,39.05,10.88
Micromax,Android,10.03,no,no,2,0.3,0.2,0.25,2000,85,2013,680,69.73,17.4
Micromax,Android,10.16,no,no,2,0.3,16,4,2000,89,2013,733,60.03,22.39
Micromax,Android,7.75,no,no,0.3,0.3,16,4,2000,89,2013,1029,48.63,19.88
Motorola,Android,15.37,yes,no,,16,128,6,5000,210,2020,242,300.32,125.17
Motorola,Android,15.42,yes,yes,,25,256,12,5000,203,2020,220,1200.85,178.91
Nokia,Android,16.56,yes,no,0.3,8,64,3,4000,200,2020,310,149.14,65.76
Nokia,Android,13.84,yes,no,0.3,5,16,2,3000,180,2020,193,60.35,37.2
Nokia,Android,13.84,yes,no,0.3,5,16,2,3000,180,2020,356,98.69,57.71
Nokia,Others,5.18,no,no,0.3,0,0.1,0.03,1020,90.5,2020,272,29.96,18.36
Nokia,Others,5.18,no,no,0.3,0,0.06,,1020,91.3,2020,288,18.38,15.32
Nokia,Android,17.3,yes,yes,0.3,24,64,6,4500,220,2020,284,501.12,203.17
Nokia,Others,5.18,no,no,0.3,0,0.06,0.02,1200,88.2,2020,266,40.41,29.1
